"Subs. Service Line No.","Compute Type","Active","Usage Line Number","Metered service date","Sub Account","Computed Quantity","Existing Entitled Qty","Usage Quantity","UOM","Product","Parent Product","Net Unit Price","SPM Document Number","Line Net Amount","Bill To Plan Number","Consumed Quantity","Overage","Compute Source","Status","Available Amt After Computing","Is Credit Memo?","Spm Partner Credit Amt","Bill to Customer","Trxn Extension ID","Line Net Amount Increased Precision","UCM Payment Credit Amt"
"1.037","Funded Allocation Usage","true",,"09-08-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2475035.24104,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-07-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2475780.48388,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-06-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2476728.83917,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474160.55314,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-08-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474773.26149,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2473981.84911,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-04-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2478328.15001,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474526.03738,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-10-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2473607.12116,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2472915.17495,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-08-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474740.67099,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-01-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2480992.54048,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-04-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2478521.03423,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474176.81262,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-05-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2477504.65695,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-05-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2478136.39694,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-06-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2477108.35930,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-03-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479751.83426,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-03-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479605.26487,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-07-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2476177.27929,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-03-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479152.31144,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-02-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2480009.90068,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-01-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2480883.27153,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-04-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2478893.15994,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-02-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2480275.45683,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-04-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2478388.57456,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-10-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2472958.68395,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-01-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2481583.57815,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474595.41901,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"",5.38000,"",0,"true","","Not Invoiced",2472563.57032,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-01-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2481549.74918,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474661.34445,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"",5.38000,"",0,"true","","Not Invoiced",2472640.63597,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-10-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2473196.10361,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"",5.38000,"",0,"true","","Not Invoiced",2472097.48289,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-06-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2477024.05176,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-08-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474822.76413,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-05-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2478002.06469,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-10-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2472997.39192,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474346.69010,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-06-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2476808.08309,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-10-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2473285.46993,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"",5.38000,"",0,"true","","Not Invoiced",2472667.90209,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-07-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2476336.89672,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-08-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2475385.09960,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474446.74014,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-08-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2475193.82205,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-10-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2473641.48428,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-06-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2477086.30107,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-03-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479210.45540,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-07-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2475937.47323,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-06-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2476619.75953,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-08-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2475374.82983,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-01-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2481139.70234,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-05-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2478238.91533,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-04-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479029.79514,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-02-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479991.49508,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"",5.38000,"",0,"true","","Not Invoiced",2472270.76942,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-05-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2477885.06798,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-02-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2480792.46359,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474046.20444,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-03-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479777.07385,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"",5.38000,"",0,"true","","Not Invoiced",2472030.68800,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-11-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2472758.85876,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474133.18695,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-02-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2480398.35182,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-01-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2481472.30503,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-03-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2479381.52172,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
"1.037","Funded Allocation Usage","true",,"09-09-2021","",1,0,1,"PORT HOUR","B88326 - Oracle Cloud Infrastructure - FastConnect 10 Gbps - Port Hour","B88206 - Oracle PaaS and IaaS Universal Credits",5.3794000,"10833179 - 10-01-2021 - 0",5.38000,"",0,"true","","Invoiced | Draft",2474484.99668,"false",0.53794,"15820392 - Netmanagement Informatica Ltda - Epp",,5.37940,
